date,channel,spend,conversions
2024-01-01,Search,1483.45,78
2024-01-02,Search,1665.31,55
2024-01-03,Search,1440.65,75
2024-01-04,Search,1247.45,70
2024-01-05,Search,1308.54,54
2024-01-06,Search,1298.91,79
2024-01-07,Search,1435.09,75
2024-01-08,Search,1380.57,76
2024-01-09,Search,1457.73,66
2024-01-10,Search,1573.21,72
2024-01-11,Search,1319.5,67
2024-01-12,Search,1387.9,103
2024-01-13,Search,1393.98,81
2024-01-14,Search,1415.42,88
2024-01-15,Search,1264.17,80
2024-01-16,Search,1416.31,95
2024-01-17,Search,1449.75,77
2024-01-18,Search,1342.42,87
2024-01-19,Search,1443.27,82
2024-01-20,Search,1367.68,68
2024-01-21,Search,1532.89,74
2024-01-22,Search,1233.59,62
2024-01-23,Search,1221.53,86
2024-01-24,Search,1536.67,79
2024-01-25,Search,1443.66,89
2024-01-26,Search,1442.08,72
2024-01-27,Search,1713.45,87
2024-01-28,Search,1594.64,86
2024-01-29,Search,1358.77,85
2024-01-30,Search,1446.48,78
2024-01-31,Search,1505.11,72
2024-02-01,Search,1479.5,74
2024-02-02,Search,1435.97,74
2024-02-03,Search,1409.78,69
2024-02-04,Search,1168.55,66
2024-02-05,Search,1495.91,80
2024-02-06,Search,1270.17,78
2024-02-07,Search,1515.29,74
2024-02-08,Search,1279.83,76
2024-02-09,Search,1760.18,75
2024-02-10,Search,1266.86,77
2024-02-11,Search,1320.21,78
2024-02-12,Search,1756.52,87
2024-02-13,Search,1474.56,98
2024-02-14,Search,1357.57,67
2024-02-15,Search,1642.13,82
2024-02-16,Search,1433.44,70
2024-02-17,Search,1666.45,74
2024-02-18,Search,1447.21,76
2024-02-19,Search,1459.98,71
2024-02-20,Search,1260.73,83
2024-02-21,Search,1614.65,73
2024-02-22,Search,1538.67,83
2024-02-23,Search,1454.46,74
2024-02-24,Search,1230.99,66
2024-02-25,Search,1397.94,67
2024-02-26,Search,1261.32,80
2024-02-27,Search,1441.15,78
2024-02-28,Search,1279.3,98
2024-02-29,Search,1396.81,85
2024-03-01,Search,1487.25,97
2024-03-02,Search,1437.65,69
2024-03-03,Search,1643.79,81
2024-03-04,Search,1767.89,74
2024-03-05,Search,1272.47,83
2024-03-06,Search,1249.07,84
