order_id,session_id,order_date,order_value
O97433982,S898466559,2025-07-26,95.19
O46834920,S705474087,2025-07-15,114.72
O33486573,S913166108,2025-07-24,105.76
O88226207,S254707121,2025-06-26,140.51
O72350114,S461043921,2025-06-19,99.53
O80961629,S121018509,2025-08-13,71.95
O90744832,S874178610,2025-08-18,96.49
O64749058,S17569814,2025-07-22,106.61
O27346973,S846329893,2025-05-31,81.19
O87562096,S238904069,2025-07-16,84.74
O20051670,S655405941,2025-06-23,55.89
O26538155,S130960558,2025-07-21,109.24
O62580099,S230871530,2025-07-18,52.43
O89451388,S575103422,2025-07-10,92.39
O4871217,S498681002,2025-07-09,50.88
O52367420,S381688249,2025-07-23,113.12
O70250232,S886046723,2025-07-14,79.67
O87720567,S194476149,2025-07-23,50.29
O58744690,S227354060,2025-07-31,106.78
O40756919,S725218471,2025-07-23,96.61
O29739343,S4241062,2025-08-18,74.38
O26148905,S629685163,2025-08-10,124.37
O5361171,S883884832,2025-07-18,152.4
O28255378,S569512314,2025-08-01,73.06
O45655107,S13607265,2025-06-12,137.92
O86277450,S754160235,2025-08-03,87.05
O96677950,S979183649,2025-07-02,90.22
O11582718,S285296719,2025-05-20,42.44
O65420237,S541295711,2025-06-24,94.15
O23610284,S270104736,2025-07-05,78.99
O48493430,S259031028,2025-06-21,53.82
O7605074,S300323370,2025-07-06,83.54
O78750382,S199257886,2025-06-25,79.52
O59679412,S427068577,2025-07-04,122.18
O52669749,S610058682,2025-08-13,124.61
O7228474,S374991467,2025-08-18,45.41
O64491075,S282941305,2025-06-16,64.79
O97614486,S605100689,2025-07-21,83.14
O2082482,S206484049,2025-08-10,78.76
O8892424,S986940901,2025-08-17,94.01
O26661168,S668331145,2025-08-12,114.41
O22208242,S27067471,2025-07-14,72.58
O96813755,S106329842,2025-07-22,101.08
O71480952,S440872054,2025-05-28,84.17
O91762288,S367138932,2025-07-16,126.79
O3038762,S736503430,2025-07-29,126.43
O67512765,S412027722,2025-05-27,40.95
O835129,S897093564,2025-07-10,76.88
O82943116,S718204633,2025-07-31,124.07
O73731208,S873472794,2025-06-19,110.93
