session_id,user_id,ts_iso,utm_source,device,pages
S312479380,U100000,2025-07-17T23:00:00,social,mobile,3
S898466559,U100000,2025-07-26T09:00:00,search,tablet,7
S400770828,U100000,2025-07-29T16:00:00,display,mobile,1
S133826173,U100001,2025-07-20T08:00:00,social,mobile,7
S653945978,U100001,2025-07-26T01:00:00,direct,desktop,7
S91396595,U100001,2025-07-28T12:00:00,search,desktop,4
S705474087,U100002,2025-07-15T00:00:00,social,mobile,1
S746027385,U100002,2025-07-23T17:00:00,email,mobile,8
S983157212,U100003,2025-08-10T23:00:00,display,mobile,3
S412279952,U100003,2025-08-14T05:00:00,search,mobile,1
S913166108,U100004,2025-07-24T17:00:00,search,desktop,1
S254707121,U100005,2025-06-26T11:00:00,search,mobile,3
S461043921,U100006,2025-06-19T02:00:00,social,mobile,1
S466410508,U100006,2025-06-26T01:00:00,email,desktop,4
S337852004,U100006,2025-07-02T17:00:00,direct,mobile,2
S582095477,U100007,2025-08-01T07:00:00,search,mobile,5
S968004091,U100008,2025-08-06T16:00:00,social,mobile,5
S399736425,U100008,2025-08-07T08:00:00,search,mobile,2
S463501282,U100009,2025-05-30T15:00:00,search,desktop,1
S474330566,U100010,2025-07-16T20:00:00,email,mobile,2
S60861106,U100010,2025-07-23T08:00:00,direct,desktop,3
S121018509,U100011,2025-08-13T00:00:00,search,desktop,2
S874178610,U100011,2025-08-18T13:00:00,search,mobile,3
S170308288,U100012,2025-07-04T05:00:00,search,mobile,4
S987785630,U100012,2025-07-06T19:00:00,social,desktop,5
S66081531,U100012,2025-07-15T06:00:00,search,mobile,6
S925664801,U100013,2025-06-21T23:00:00,social,mobile,1
S426036532,U100014,2025-07-11T15:00:00,search,mobile,6
S184723515,U100014,2025-07-17T14:00:00,search,mobile,4
S542197302,U100015,2025-05-19T19:00:00,search,mobile,5
S788516461,U100015,2025-05-23T13:00:00,direct,mobile,4
S945425089,U100016,2025-08-04T13:00:00,direct,mobile,4
S17569814,U100017,2025-07-22T18:00:00,email,mobile,1
S632440091,U100017,2025-07-24T18:00:00,social,mobile,6
S841427213,U100018,2025-06-16T01:00:00,email,mobile,2
S383339706,U100018,2025-06-17T17:00:00,search,desktop,8
S388759981,U100018,2025-06-21T07:00:00,direct,tablet,2
S846329893,U100019,2025-05-31T01:00:00,search,mobile,1
S630876137,U100020,2025-07-12T00:00:00,search,desktop,5
S439866815,U100020,2025-07-15T03:00:00,social,mobile,6
S238904069,U100020,2025-07-16T15:00:00,direct,desktop,4
S787797581,U100021,2025-07-12T06:00:00,direct,mobile,2
S283624251,U100021,2025-07-21T16:00:00,social,desktop,3
S819985383,U100021,2025-07-28T19:00:00,social,mobile,5
S655405941,U100022,2025-06-23T18:00:00,direct,tablet,4
S882807687,U100023,2025-05-30T03:00:00,social,desktop,4
S230377562,U100023,2025-06-04T22:00:00,social,desktop,5
S417013240,U100023,2025-06-08T00:00:00,social,mobile,6
S259366261,U100024,2025-07-28T16:00:00,search,mobile,4
S726127408,U100024,2025-07-31T10:00:00,display,mobile,1
S670249590,U100024,2025-08-06T20:00:00,search,mobile,5
S557411877,U100025,2025-05-22T15:00:00,social,desktop,5
S86230023,U100025,2025-05-26T15:00:00,search,tablet,6
S691884577,U100025,2025-05-30T18:00:00,search,mobile,4
S11193385,U100026,2025-06-02T09:00:00,search,desktop,4
