account_id,month,feature,monthly_uses
ACCT00001,2024-09-01,Dashboards,35
ACCT00001,2024-09-01,API,19
ACCT00001,2024-09-01,SSO,21
ACCT00001,2024-09-01,Exports,24
ACCT00001,2024-09-01,Alerts,13
ACCT00001,2024-09-01,AI_Assist,19
ACCT00001,2024-10-01,Dashboards,22
ACCT00001,2024-10-01,API,39
ACCT00001,2024-10-01,SSO,45
ACCT00001,2024-10-01,Exports,26
ACCT00001,2024-10-01,Alerts,28
ACCT00001,2024-10-01,AI_Assist,33
ACCT00001,2024-11-01,Dashboards,30
ACCT00001,2024-11-01,API,32
ACCT00001,2024-11-01,SSO,44
ACCT00001,2024-11-01,Exports,38
ACCT00001,2024-11-01,Alerts,34
ACCT00001,2024-11-01,AI_Assist,29
ACCT00001,2024-12-01,Dashboards,57
ACCT00001,2024-12-01,API,35
ACCT00001,2024-12-01,SSO,43
ACCT00001,2024-12-01,Exports,31
ACCT00001,2024-12-01,Alerts,35
ACCT00001,2024-12-01,AI_Assist,43
ACCT00001,2025-01-01,Dashboards,44
ACCT00001,2025-01-01,API,54
ACCT00001,2025-01-01,SSO,49
ACCT00001,2025-01-01,Exports,33
ACCT00001,2025-01-01,Alerts,24
ACCT00001,2025-01-01,AI_Assist,58
ACCT00001,2025-02-01,Dashboards,46
ACCT00001,2025-02-01,API,68
ACCT00001,2025-02-01,SSO,53
ACCT00001,2025-02-01,Exports,45
ACCT00001,2025-02-01,Alerts,58
ACCT00001,2025-02-01,AI_Assist,50
ACCT00001,2025-03-01,Dashboards,54
ACCT00001,2025-03-01,API,45
ACCT00001,2025-03-01,SSO,61
ACCT00001,2025-03-01,Exports,66
ACCT00001,2025-03-01,Alerts,49
ACCT00001,2025-03-01,AI_Assist,73
ACCT00001,2025-04-01,Dashboards,47
ACCT00001,2025-04-01,API,55
ACCT00001,2025-04-01,SSO,35
ACCT00001,2025-04-01,Exports,32
ACCT00001,2025-04-01,Alerts,75
ACCT00001,2025-04-01,AI_Assist,67
ACCT00001,2025-05-01,Dashboards,60
ACCT00001,2025-05-01,API,30
ACCT00001,2025-05-01,SSO,50
ACCT00001,2025-05-01,Exports,52
ACCT00001,2025-05-01,Alerts,49
ACCT00001,2025-05-01,AI_Assist,51
ACCT00001,2025-06-01,Dashboards,32
ACCT00001,2025-06-01,API,40
ACCT00001,2025-06-01,SSO,30
