invoice_id,subscription_id,account_id,invoice_month,amount,paid
INV0000001,SUB00001_1,ACCT00001,2024-09-01,86.04,1
INV0000002,SUB00001_1,ACCT00001,2024-10-01,91.23,1
INV0000003,SUB00001_1,ACCT00001,2024-11-01,83.09,1
INV0000004,SUB00001_1,ACCT00001,2024-12-01,84.83,1
INV0000005,SUB00001_1,ACCT00001,2025-01-01,90.24,1
INV0000006,SUB00001_1,ACCT00001,2025-02-01,90.15,1
INV0000007,SUB00001_1,ACCT00001,2025-03-01,91.77,1
INV0000008,SUB00002_1,ACCT00002,2024-09-01,91.44,1
INV0000009,SUB00002_1,ACCT00002,2024-10-01,90.44,1
INV0000010,SUB00002_1,ACCT00002,2024-11-01,95.95,1
INV0000011,SUB00002_1,ACCT00002,2024-12-01,95.3,1
INV0000012,SUB00002_1,ACCT00002,2025-01-01,90.36,1
INV0000013,SUB00002_2,ACCT00002,2025-02-01,365.18,1
INV0000014,SUB00002_2,ACCT00002,2025-03-01,346.01,1
INV0000015,SUB00002_2,ACCT00002,2025-04-01,354.48,1
INV0000016,SUB00002_2,ACCT00002,2025-05-01,343.76,0
INV0000017,SUB00002_2,ACCT00002,2025-06-01,339.55,1
INV0000018,SUB00002_2,ACCT00002,2025-07-01,350.42,1
INV0000019,SUB00002_2,ACCT00002,2025-08-01,343.73,1
INV0000020,SUB00003_1,ACCT00003,2025-01-01,88.32,1
INV0000021,SUB00003_1,ACCT00003,2025-02-01,86.89,1
INV0000022,SUB00003_1,ACCT00003,2025-03-01,87.96,1
INV0000023,SUB00003_1,ACCT00003,2025-04-01,89.72,1
INV0000024,SUB00003_1,ACCT00003,2025-05-01,81.36,1
INV0000025,SUB00003_1,ACCT00003,2025-06-01,89.8,1
INV0000026,SUB00003_1,ACCT00003,2025-07-01,82.55,1
INV0000027,SUB00003_1,ACCT00003,2025-08-01,90.25,1
INV0000028,SUB00004_1,ACCT00004,2024-12-01,380.23,1
INV0000029,SUB00004_1,ACCT00004,2025-01-01,399.71,1
INV0000030,SUB00004_1,ACCT00004,2025-02-01,384.39,1
INV0000031,SUB00004_1,ACCT00004,2025-03-01,404.41,1
INV0000032,SUB00004_1,ACCT00004,2025-04-01,384.45,1
INV0000033,SUB00004_1,ACCT00004,2025-05-01,376.41,1
INV0000034,SUB00004_1,ACCT00004,2025-06-01,377.21,1
INV0000035,SUB00005_1,ACCT00005,2024-10-01,87.43,1
INV0000036,SUB00005_1,ACCT00005,2024-11-01,88.19,1
INV0000037,SUB00005_1,ACCT00005,2024-12-01,84.27,1
INV0000038,SUB00005_1,ACCT00005,2025-01-01,92.56,1
INV0000039,SUB00005_1,ACCT00005,2025-02-01,85.26,1
INV0000040,SUB00005_1,ACCT00005,2025-03-01,86.08,1
INV0000041,SUB00005_1,ACCT00005,2025-04-01,83.06,1
INV0000042,SUB00006_1,ACCT00006,2025-01-01,97.31,1
INV0000043,SUB00006_1,ACCT00006,2025-02-01,94.57,1
INV0000044,SUB00006_1,ACCT00006,2025-03-01,91.49,1
INV0000045,SUB00006_1,ACCT00006,2025-04-01,92.5,1
INV0000046,SUB00006_1,ACCT00006,2025-05-01,94.05,1
INV0000047,SUB00006_1,ACCT00006,2025-06-01,97.45,1
INV0000048,SUB00006_1,ACCT00006,2025-07-01,98.01,1
INV0000049,SUB00006_1,ACCT00006,2025-08-01,91.51,1
INV0000050,SUB00007_1,ACCT00007,2025-02-01,312.29,1
INV0000051,SUB00007_1,ACCT00007,2025-03-01,329.46,1
INV0000052,SUB00007_1,ACCT00007,2025-04-01,331.87,1
INV0000053,SUB00007_1,ACCT00007,2025-05-01,326.66,1
INV0000054,SUB00007_2,ACCT00007,2025-06-01,362.8,1
INV0000055,SUB00007_2,ACCT00007,2025-07-01,357.45,1
INV0000056,SUB00007_2,ACCT00007,2025-08-01,364.42,1
INV0000057,SUB00008_1,ACCT00008,2024-11-01,89.11,1
INV0000058,SUB00008_1,ACCT00008,2024-12-01,94.82,1
INV0000059,SUB00008_1,ACCT00008,2025-01-01,95.99,1
INV0000060,SUB00008_1,ACCT00008,2025-02-01,94.88,1
INV0000061,SUB00008_1,ACCT00008,2025-03-01,90.6,1
INV0000062,SUB00008_1,ACCT00008,2025-04-01,92.18,1
INV0000063,SUB00008_1,ACCT00008,2025-05-01,94.11,1
INV0000064,SUB00008_1,ACCT00008,2025-06-01,93.06,1
