ticket_id,created_at,first_response_at,resolved_at,priority,channel,queue,aht_min
1,2024-04-01 00:01:00,2024-04-01 00:41:00,2024-04-01 01:13:00,P2,Email,Tech,32
2,2024-04-01 00:02:00,2024-04-01 01:29:00,2024-04-01 01:48:00,P2,Email,General,19
3,2024-04-01 00:06:00,2024-04-01 00:33:00,2024-04-01 01:19:00,P2,Email,Tech,46
4,2024-04-01 00:06:00,2024-04-01 01:06:00,2024-04-01 02:05:00,P3,Email,Tech,59
5,2024-04-01 00:14:00,2024-04-01 02:17:00,2024-04-01 02:53:00,P2,Email,Tech,36
6,2024-04-01 00:16:00,2024-04-01 03:11:00,2024-04-01 03:29:00,P3,Email,Tech,18
7,2024-04-01 00:18:00,2024-04-01 01:17:00,2024-04-01 01:36:00,P3,Web,Billing,19
8,2024-04-01 00:18:00,2024-04-01 00:59:00,2024-04-01 01:25:00,P1,Email,Tech,26
9,2024-04-01 00:19:00,2024-04-01 01:33:00,2024-04-01 02:04:00,P3,Email,Billing,31
10,2024-04-01 00:20:00,2024-04-01 02:29:00,2024-04-01 02:48:00,P2,Email,Billing,19
11,2024-04-01 00:22:00,2024-04-01 02:05:00,2024-04-01 03:15:00,P1,Email,Tech,70
12,2024-04-01 00:25:00,2024-04-01 00:38:00,2024-04-01 01:10:00,P2,Chat,Tech,32
13,2024-04-01 00:26:00,2024-04-01 00:32:00,2024-04-01 00:47:00,P2,Web,Tech,15
14,2024-04-01 00:35:00,2024-04-01 02:47:00,2024-04-01 03:06:00,P2,Email,Tech,19
15,2024-04-01 00:38:00,2024-04-01 00:47:00,2024-04-01 01:23:00,P3,Email,Tech,36
16,2024-04-01 00:39:00,2024-04-01 02:30:00,2024-04-01 03:15:00,P2,Email,Tech,45
17,2024-04-01 00:42:00,2024-04-01 01:43:00,2024-04-01 01:58:00,P2,Web,Billing,15
18,2024-04-01 00:56:00,2024-04-01 02:26:00,2024-04-01 02:57:00,P3,Email,Billing,31
19,2024-04-01 00:57:00,2024-04-01 01:34:00,2024-04-01 02:19:00,P3,Email,Tech,45
20,2024-04-01 00:58:00,2024-04-01 01:39:00,2024-04-01 02:53:00,P3,Web,Tech,74
21,2024-04-01 01:00:00,2024-04-01 01:59:00,2024-04-01 02:25:00,P2,Web,Tech,26
22,2024-04-01 01:09:00,2024-04-01 03:51:00,2024-04-01 04:26:00,P2,Email,Tech,35
23,2024-04-01 01:14:00,2024-04-01 03:09:00,2024-04-01 04:26:00,P2,Email,Tech,77
24,2024-04-01 01:14:00,2024-04-01 01:44:00,2024-04-01 02:05:00,P2,Web,Tech,21
25,2024-04-01 01:14:00,2024-04-01 01:59:00,2024-04-01 02:06:00,P2,Web,Billing,7
26,2024-04-01 01:14:00,2024-04-01 03:24:00,2024-04-01 03:54:00,P3,Email,General,30
