day,priority,channel,queue,tickets,avg_frt_min,avg_ttr_min,p50_frt,p90_frt,p50_ttr,p90_ttr
2024-04-01,P1,Chat,Billing,3,0.0,35.333333333333336,0.0,0.0,38.0,38.8
2024-04-01,P1,Chat,General,2,1.5,19.0,1.5,2.7,19.0,25.4
2024-04-01,P1,Chat,Tech,5,0.0,49.4,0.0,0.0,27.0,97.0
2024-04-01,P1,Email,Billing,16,67.75,95.4375,73.0,120.00000000000001,92.5,155.0
2024-04-01,P1,Email,General,5,84.0,100.0,69.0,151.8,87.0,172.6
2024-04-01,P1,Email,Tech,15,71.86666666666666,124.8,72.0,111.39999999999999,132.00000000000003,167.79999999999998
2024-04-01,P1,Web,Billing,11,20.0,46.36363636363637,17.000000000000004,39.0,42.0,74.0
2024-04-01,P1,Web,General,8,25.625,47.25,33.5,47.0,52.5,74.4
2024-04-01,P1,Web,Tech,8,24.875,58.75,33.0,39.599999999999994,59.00000000000001,83.4
2024-04-01,P2,Chat,Billing,17,9.117647058823529,32.1764705882353,9.0,13.4,31.000000000000004,48.2
2024-04-01,P2,Chat,General,8,11.125,31.5,11.5,19.3,33.5,36.3
2024-04-01,P2,Chat,Tech,20,9.95,51.2,11.0,15.0,42.5,99.60000000000001
2024-04-01,P2,Email,Billing,113,95.43362831858407,123.52212389380531,95.0,160.8,123.00000000000001,183.39999999999998
2024-04-01,P2,Email,General,67,94.34328358208955,116.04477611940298,92.0,151.4,118.0,169.0
2024-04-01,P2,Email,Tech,146,88.04109589041096,125.55479452054794,87.0,140.5,126.50000000000001,190.5
2024-04-01,P2,Web,Billing,64,39.96875,67.3125,38.0,64.00000000000001,67.50000000000001,92.7
2024-04-01,P2,Web,General,40,34.875,55.45,35.0,58.300000000000004,54.5,87.60000000000001
2024-04-01,P2,Web,Tech,90,31.366666666666667,72.53333333333333,30.5,55.0,65.50000000000001,112.30000000000003
